[mandelbrot serial]:		[592.798] ms
Wrote image file mandelbrot-serial.ppm
Hello world from thread 0
Hello world from thread 1
Hello world from thread 0
Hello world from thread 1
Hello world from thread 0
Hello world from thread 1
Hello world from thread 0
Hello world from thread 1
Hello world from thread 0
Hello world from thread 1
[mandelbrot thread]:		[308.635] ms
Wrote image file mandelbrot-thread.ppm
Mismatch : [679][411], Expected : 102, Actual : 119
Mismatch : [679][652], Expected : 56, Actual : 57
Mismatch : [679][1268], Expected : 161, Actual : 160
Mismatch : [679][1270], Expected : 117, Actual : 136
Mismatch : [681][1263], Expected : 204, Actual : 256
Mismatch : [681][1266], Expected : 197, Actual : 198
Mismatch : [681][1267], Expected : 134, Actual : 133
Mismatch : [682][649], Expected : 192, Actual : 215
Mismatch : [682][651], Expected : 109, Actual : 110
Mismatch : [682][669], Expected : 166, Actual : 188
Mismatch : [682][1272], Expected : 196, Actual : 145
Mismatch : [683][669], Expected : 199, Actual : 198
Mismatch : [683][670], Expected : 256, Actual : 228
Mismatch : [683][1272], Expected : 256, Actual : 212
Mismatch : [684][649], Expected : 164, Actual : 163
Mismatch : [685][1276], Expected : 105, Actual : 107
Mismatch : [686][649], Expected : 204, Actual : 203
Mismatch : [687][411], Expected : 101, Actual : 100
Mismatch : [687][645], Expected : 187, Actual : 189
Mismatch : [687][674], Expected : 238, Actual : 189
Mismatch : [687][1273], Expected : 138, Actual : 139
Mismatch : [688][413], Expected : 110, Actual : 108
Mismatch : [688][1282], Expected : 115, Actual : 104
Mismatch : [689][412], Expected : 183, Actual : 152
Mismatch : [689][413], Expected : 174, Actual : 172
Mismatch : [689][414], Expected : 256, Actual : 234
Mismatch : [689][647], Expected : 121, Actual : 120
Mismatch : [689][669], Expected : 208, Actual : 151
Mismatch : [689][1273], Expected : 175, Actual : 177
Mismatch : [690][411], Expected : 117, Actual : 116
Mismatch : [690][412], Expected : 169, Actual : 174
Mismatch : [690][415], Expected : 239, Actual : 256
Mismatch : [690][670], Expected : 229, Actual : 226
Mismatch : [690][1273], Expected : 136, Actual : 135
Mismatch : [690][1275], Expected : 98, Actual : 105
Mismatch : [691][641], Expected : 174, Actual : 173
Mismatch : [691][644], Expected : 176, Actual : 138
Mismatch : [691][1276], Expected : 75, Actual : 72
Mismatch : [692][414], Expected : 171, Actual : 175
Mismatch : [692][415], Expected : 178, Actual : 184
Mismatch : [692][640], Expected : 155, Actual : 156
Mismatch : [692][643], Expected : 174, Actual : 178
Mismatch : [692][1272], Expected : 256, Actual : 196
Mismatch : [692][1276], Expected : 113, Actual : 116
Mismatch : [693][670], Expected : 67, Actual : 68
Mismatch : [694][414], Expected : 141, Actual : 145
Mismatch : [694][1270], Expected : 216, Actual : 163
Mismatch : [695][406], Expected : 123, Actual : 124
Mismatch : [695][407], Expected : 79, Actual : 90
Mismatch : [695][427], Expected : 256, Actual : 180
Mismatch : [695][429], Expected : 190, Actual : 191
Mismatch : [695][645], Expected : 93, Actual : 92
Mismatch : [696][414], Expected : 193, Actual : 187
Mismatch : [696][426], Expected : 195, Actual : 194
Mismatch : [696][643], Expected : 122, Actual : 121
Mismatch : [696][670], Expected : 167, Actual : 237
Mismatch : [696][1266], Expected : 249, Actual : 256
Mismatch : [696][1273], Expected : 74, Actual : 73
Mismatch : [697][408], Expected : 158, Actual : 138
Mismatch : [697][671], Expected : 195, Actual : 200
Mismatch : [697][1265], Expected : 217, Actual : 256
Mismatch : [698][414], Expected : 152, Actual : 214
